车型,官方指导价,厂商,级别,能源类型,上市时间,发动机,纯电续航里程(km),充电时间(小时),快充电量(%),最大功率(kW),发动机最大扭矩(N·m),电动机最大扭矩(N·m),变速箱,长x宽x高(mm),车身结构,最高车速(km/h),官方百公里加速时间(s),NEDC综合油耗(L/100km),WLTC综合油耗(L/100km),百公里耗电量(kWh/100km),整车保修期限,6万公里保养总成本预估,宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),车门数(个),车门开启方式,座位数(个),整备质量(kg),最大载重质量(kg),满载质量(kg),油箱容积(L),行李舱容积(L),风阻系数(Cd),排量(mL),排量(L),进气形式,气缸排列形式,气缸数(个),每缸气门数(个),压缩比,配气机构,最大马力(Ps),最大功率转速(rpm),最大扭矩(N·m),最大扭矩转速(rpm),发动机特有技术,燃料形式,燃油标号,供油方式,缸盖材料,缸体材料,环保标准,电机类型,电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),前电动机最大功率(kW),前电动机最大扭矩(N·m),后电动机最大功率(kW),后电动机最大扭矩(N·m),系统综合功率(kW),系统综合扭矩(N·m),驱动电机数,电机布局,电池组质保,电池容量(kWh),电池能量密度(Wh/kg),电池充电,电池温度管理系统,充电桩,挡位数,变速箱类型,四驱类型,中央差速器结构,前悬挂形式,后悬挂形式,转向类型,车体结构,后制动器类型,驻车制动类型
PUMA 2019款 ST-Line,-,福特(进口),小型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
大众ID.3(进口) 2020款 基本型,-,大众(进口),紧凑型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Grandland X PHEV 2019款 Plug-In,-,欧宝,小型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
科莱威CLEVER 2022款 311km 元气啵啵版,5.9999万,上汽集团,微型车,纯电动,2022.03,,311,慢充5.5小时,null,33(45Ps),,,电动车单速变速箱,3140x1648x1531,两厢车,100,null,,,9.9,3年或10万公里,857.0元,1648,1531,2000,1430,1430,null,3,平开门,4,950,null,1255,,367,null,,,,,,,,,,,100,,,,,,,,,永磁/同步,33,45,100,33,100,null,null,null,null,单电机,前置,8年或15万公里,29,null,慢充5.5小时,null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,鼓式,手刹
名爵HS PHEV 2019款 eHS 1.5T e-Plus,18.98万,上汽集团,紧凑型SUV,插电式混合动力,2019.11,1.5T 169马力 L4 插电式混动,75,-,null,124,,,AMT(组合10挡),4574x1876x1685,SUV,200,null,1.3,,18,3年或10万公里,3638.0元,1876,1685,2720,1574,1593,null,5,平开门,5,1775,null,2196,37,463-1287,null,1490,1.5,涡轮增压,L,4,4,null,DOHC,169,5500,250,1700-4300,null,插电式混合动力,92#,缸内直喷,铝,铝,国VI,永磁/同步,90,122,230,90,230,null,null,214,480,单电机,前置,8年或15万公里,16.6,null,null,null,null,10,机械式自动变速箱(AMT),null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
锐骐6 EV 2022款 斗式旗舰版,26.98万,郑州日产,中型皮卡,纯电动,2022.04,,350,"快充1.5小时
慢充9小时",80,120(163Ps),,,电动车单速变速箱,5290x1850x1820,两排,90,null,,,null,3年或10万公里,null,1850,1820,3150,null,null,180,4,平开门,5,1970,null,null,,,,,,,,,,,,,,420,,,,,,,,,永磁/同步,120,163,420,null,null,120,420,null,null,单电机,后置,8年或12万公里,60.16,null,"快充1.5小时
慢充9小时|快充接口",null,null,1,固定齿比变速箱,null,null,双叉臂式独立悬挂,整体桥式非独立悬挂,电子液压助力,非承载式,通风盘式,手刹
凯迪拉克CT4(海外) 2022款 CT4-V Blackwing,-,凯迪拉克(进口),中型车,null,null,null,,,,null,,,null,null,三厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,平开门,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
迈巴赫GLS 2021款 GLS 480 4MATIC,183.3万,梅赛德斯-迈巴赫,大型SUV,48V轻混系统,2020.11,3.0T 367马力 L6 48V轻混,,,,270,500,null,9挡手自一体,5210x2030x1838,SUV,240,6.6,9.5,,,3年不限公里,null,2030,1838,3135,null,null,null,5,平开门,5,2646,null,3240,85,null,null,2999,3,涡轮增压,L,6,4,null,DOHC,367,5500-6100,500,1800-5800,null,48V轻混系统,95#,缸内直喷,铝,铝,国VI,,,,,,,,,,,,,,,,,,,9,手自一体变速箱(AT),全时四驱,多片离合器式中央差速器,双叉臂式独立悬挂,双叉臂式独立悬挂,电动助力,承载式,通风盘式,电子驻车
SWM斯威G05 2022款 PRO 2.0L 手动精英型 5座,8.19万,SWM斯威汽车,中型SUV,汽油,2022.06,2.0L 143马力 L4,,,,105,,,5挡手动,4750x1860x1780,SUV,175,null,7.9,,,3年或6万公里,null,1860,1780,2750,1580,1560,null,5,平开门,5,1550,null,2075,52,null,null,1988,2,自然吸气,L,4,4,null,DOHC,143,6000,190,4000,null,汽油,92#,多点电喷,铝,未知,国VI,,,,,,,,,,,,,,,,,,,5,手动变速箱(MT),null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
雷诺三星SM6 2020款  Premiere,-,雷诺三星,中大型车,null,null,null,,,,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
魏牌 VV7 PHEV 2020款 2.0T 豪华型,21.98万,长城汽车,中型SUV,插电式混合动力,2019.11,2.0T 227马力 L4 插电式混动,70,慢充3.5小时,null,167,387,195,7挡双离合,4760x1931x1655,SUV,210,5.9,1.6,,null,6年或15万公里,9572.0元,1931,1655,2950,1655,1606,null,5,平开门,5,2281,null,2791,48,null,null,1967,2,涡轮增压,L,4,4,null,DOHC,227,5500,387,1800-3600,null,插电式混合动力,92#,缸内直喷,铝,铁,国VI,未知,85,115,195,null,null,85,195,null,null,单电机,后置,待查,17.7,null,慢充3.5小时,null,null,7,湿式双离合变速箱（DCT）,电动四驱,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
银隆艾菲 2019款 基本型,43.0万,银隆新能源,中型MPV,纯电动,2019.05,,450,"快充2小时
慢充8小时",80,100(136Ps),,,电动车单速变速箱,5150x1835x1890,MPV,120,null,,,21.7,待查,null,1835,1890,3200,896,1054,null,5,侧滑门,7,2610,null,null,,null,,,,,,,,,,,,320,,,,,,,,,永磁/同步,100,136,320,100,320,null,null,100,320,单电机,前置,待查,100,null,"快充2小时
慢充8小时|快充接口",null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,机械液压助力,承载式,实心盘式,脚刹
缤越PHEV 2022款 1.5T ePro 85KM星耀版,11.98万,吉利汽车,小型SUV,插电式混合动力,2021.11,1.5T 177马力 L3 插电式混动,85,慢充2小时,100,130,,,7挡双离合,4330x1800x1609,SUV,null,6.9,1.2,,16,4年或10万公里,7122.0元,1800,1609,2600,1546,1557,null,5,平开门,5,1552,null,1927,35,295,null,1477,1.5,涡轮增压,L,3,4,null,DOHC,177,5500,255,1500-4000,DVVT,插电式混合动力,92#,缸内直喷,铝,铝,国VI b,未知,60,82,160,null,null,null,null,190,415,单电机,前置,8年或15万公里,15.5,102.9,慢充2小时,null,null,7,湿式双离合变速箱（DCT）,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
雷诺三星QM6 2019款 基本型,-,雷诺三星,紧凑型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
LUX SA2.0 2018款 基本型,-,Vinfast,中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
宝马X2 2022款 sDrive25i M越野套装,28.58万,华晨宝马,紧凑型SUV,汽油,2022.07,2.0T 192马力 L4,,,,141,,,7挡双离合,4379x1824x1555,SUV,227,7.7,6.2,,,3年或10万公里,null,1824,1555,2670,1565,1564,null,5,平开门,5,1557,null,2055,61,null,null,1998,2,涡轮增压,L,4,4,null,DOHC,192,5000-6000,280,1350-4600,null,汽油,95#,缸内直喷,铝,铝,国VI,,,,,,,,,,,,,,,,,,,7,湿式双离合变速箱（DCT）,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
LUX A2.0 2018款 基本型,-,Vinfast,中型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
QUANT 48Volt 2017款 Concept,-,nanoFLOWCELL,跑车,null,null,null,null,-,null,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
QUANT e-Sportlimousine 2014款 基本型,-,nanoFLOWCELL,跑车,null,null,null,null,-,null,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Quantino 2015款 基本型,-,nanoFLOWCELL,跑车,null,null,null,null,-,null,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
LeSEE 2016款 LeSee,-,Czinger,大型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
MELKUS RS2000 2011款 基本型,-,MELKUS,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Evantra Millecavalli 2016款 基本型,-,Mazzanti,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
宝马Z2 2014款 基本型,-,宝马(进口),跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奥迪Q4(海外) 2014款 基本型,-,奥迪(进口),紧凑型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
荣威RX9 2022款 基本型,-,上汽集团,中大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
君马MEET 5 2018款 基本型,-,君马汽车,紧凑型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
沃尔沃S60 RECHARGE(海外) 2019款 T8 AWD Polestar Engineered,-,沃尔沃(进口),中型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奥迪SQ2 2021款 基本型,-,奥迪(进口),小型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
DMC-12 1981款 基本型,-,DMC,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
法拉利SP3JC 2019款 基本型,-,法拉利,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
迈凯伦500S 2014款 基本型,-,迈凯伦,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Xterra 2009款 4.0 手动 V6,31.0万,日产(进口),紧凑型SUV,汽油,2009.01,4.0L 269马力 V6,,,,198,,,6挡手动,4550x1840x1880,SUV,null,null,9,,,null,null,1840,1880,2650,1525,1505,null,5,null,5,1675,null,null,73,null,null,4000,4,自然吸气,V,6,null,null,null,269,4800,265,3600,null,汽油,92#,多点电喷,null,null,null,,,,,,,,,,,,,,,,,,,6,手动变速箱(MT),null,null,null,null,null,承载式,实心盘式,null
Zenos E10 2014款 基本型,-,Caterham,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奇瑞C3e 2018款 基本型,-,奇瑞新能源,微型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奔驰U级 2014款 基本型,-,奔驰(进口),大型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Essentia 2016款 Concept,-,雪佛兰(进口),小型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Elemental RP1 2014款 基本型,-,Elemental,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
宝马Z8 2003款 基本型,-,宝马(进口),跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奥迪Q9 2014款 基本型,-,奥迪(进口),大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Donkervoort D8 2021款 GTO Individual Series,-,Donkervoort,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Beast 2015款 基本型,-,Rezvani,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奥迪A9 2014款 基本型,-,奥迪(进口),大型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
劳斯莱斯20/25 HP 1935款 基本型,-,劳斯莱斯,大型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
AC Schnitzer X1 2010款 BMW X1,-,AC Schnitzer,紧凑型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
祥菱M 2018款 1.2L M1半承载2400轴距4W12M1后单胎产品(单排),4.33万,福田汽车,微卡,汽油,2019.04,1.2L 86马力 L4,,,,63,,,5挡手动,4910x1680x1920,微卡,null,null,null,,,null,null,1680,1920,2400,null,null,null,2,平开门,2,null,1455,2795,50,,,null,1.2,自然吸气,L,4,null,null,null,86,null,null,null,null,汽油,93#(京92#),多点电喷,null,null,国V,,,,,,,,,,,,,,,,,,,5,手动变速箱(MT),null,null,麦弗逊式独立悬挂,整体桥式非独立悬挂,电动助力,非承载式,鼓式,null
豪越 2022款 1.8TD 自动舒适型,10.96万,吉利汽车,中型SUV,汽油,2021.11,1.8T 184马力 L4,,,,135,,,6挡手自一体,4835x1900x1780,SUV,190,null,8.1,,,4年或10万公里,7531.0元,1900,1780,2815,1603,1618,null,5,平开门,5,1590,null,2295,60,2360,null,1799,1.8,涡轮增压,L,4,4,null,DOHC,184,5500,300,1750-4000,null,汽油,92#,缸内直喷,铝,铁,国VI b,,,,,,,,,,,,,,,,,,,6,手自一体变速箱(AT),null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
雷克萨斯LC F 2018款 基本型,-,雷克萨斯F,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
mi-DO 2014款 基本型,-,Datsun,小型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
on-DO 2014款 基本型,-,Datsun,小型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
redi-GO 2014款 基本型,-,Datsun,小型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
GAZ-12 1950款 以往经典款,-,GAZ,大型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
America 2014款 EV,-,Venturi,跑车,null,null,null,null,-,null,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
战盾 2011款 作战版,-,凯佰赫,大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Force 1 2016款 基本型,-,VLF Automotive,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
和悦A60 2014款 基本型,-,江淮汽车,紧凑型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
欢腾H1 2013款 基本型,-,恒天汽车,紧凑型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Mobi 2016款 基本型,-,菲亚特(进口),小型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
ABT QS7 2016款 基本型,-,ABT,中大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
领途C3 2019款 基本型,-,领途汽车,微型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
领途BX100 2019款 基本型,-,领途汽车,微型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Taycan 2022款 Taycan,88.8万,保时捷,中大型车,纯电动,2021.07,,414,"快充1.55小时
慢充8小时",80,300(408Ps),,,2挡自动,4963x1966x1395,三厢车,230,5.4,,,19.8,3年或10万公里,15414.0元,1966,1395,2900,1710,1694,null,4,平开门,4,2100,null,2795,,491,0.22,,,,,,,,,,,345,,,,,,,,,永磁/同步,300,408,345,null,null,300,345,null,null,单电机,后置,8年或16万公里,79.2,null,"快充1.55小时
慢充9小时|快充1.55小时
慢充8小时|快充1.55小时
慢充5小时|快充接口",低温加热|液态冷却,null,2,自动变速箱(AT),null,null,双叉臂式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
Sagaris 2006款 基本型,-,TVR,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Tuscan 2006款 基本型,-,TVR,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Griffith 2017款 基本型,-,TVR,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
弗那萨利 99 2012款 7.0L LS7,-,弗那萨利,大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
标致608 2014款 基本型,-,标致(进口),中大型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
